company_name;category;offers
Michael Page;Banking & Financial Services, Insurance;37
Michael Page;Consultancy, Strategy & Change;10
Michael Page;Customer Service;29
Michael Page;Engineering & Manufacturing;143
Michael Page;Executive Search;7
Michael Page;Healthcare & Life Sciences;19
Michael Page;Human Resources;44
Michael Page;Information Technology;120
Michael Page;Legal;7
Michael Page;Logistics;21
Michael Page;Marketing Agency Digital;36
Michael Page;Office Business Support;6
Michael Page;Procurement Supply Chain;48
Michael Page; Property Construction Facilities Management;38
Michael Page;Retail Fashion;11
Michael Page;Sales;71
