company_name;category;offers
Randstad;produkcja;347
Randstad;IT - administracja;20
Randstad;it - rozwoj oprogramowania;29
Randstad;administracja biurowa;63
Randstad;badania i rozwoj;5
Randstad;bankowosc;5
Randstad;budownictwo;4
Randstad;call center;3
Randstad;doradztwo/konsulting;3
Randstad;edukacja/szkolenia;2
Randstad;finanse/ekonomia;77
Randstad;hotelarstwo/gastronomia/turystyka;7
Randstad;human resources/zasoby ludzkie;39
Randstad;inne;37
Randstad;inzynieria;44
Randstad;magazyn;91
Randstad;marketing;3
Randstad;nieruchomosci;1
Randstad;obsluga klienta;39
Randstad;produkcja;347
Randstad;reklama/grafika/kreacja/fotografia;1
Randstad;sprzedaz;27
Randstad;transport/spedycja/logistyka;33
Randstad;ubezpieczenia;1
Randstad;uslugi;3
Randstad;zakupy;1
Randstad;lancuch dostaw;5
