company_name;category;offers
Antal;Accontancy;41
Antal;Actuaries;0
Antal;Administration Supoort;10
Antal;Banking, Financial services & Investment;20
Antal;Consulting;2
Antal;Design, Construction;4
Antal;Engineering;6
Antal;Fashion;1
Antal;General Management, Board;1
Antal;Health, Safety, Environment;0
Antal;Human Resources;4
Antal;IT & Telecom Technical;11
Antal;Law, Legal;0
Antal;Logistic, suply chain;8
Antal;Media;0
Antal;Operations;0
Antal;Procurement, Purchasing;9
Antal;Programista .NET;0
Antal;Programista Android;0
Antal;Programista aplikacji mobilnych;0
Antal;Programista ASP.net;0
Antal;Programista C;0
Antal;Programista C ++;0
Antal;Programista Front-End;0
Antal;Programista iOS;0
Antal;Programista JAVA;0
Antal;Programista Perl;0
Antal;Programista PHP;0
Antal;Programista Python;0
Antal;Programista Rails;0
Antal;Public Sector, Education, Health;0
Antal;R&D, Clinical/Healthcare, Pharma;0
Antal;Sales, Marketing, PR;10
Antal;Telekomunikacja;0
Antal;Testownie;1
Antal;Training;0
Antal;Zarzadzanie IT;0
