company_name;category;offers
Manpower;Administracja /Sekretariat/ Tlumaczenia;94
Manpower;AGD/ Sprzet elektryczny;1
Manpower;Architektura/ Budownictwo;4
Manpower;Energetyka/ Gazownictwo;0
Manpower;Farmacja/ Chemia/ Biologia;7
Manpower;Finanse/ Bankowosć/ Ubezpieczenia;66
Manpower;FMCG;20
Manpower;Gospodarstwo Domowe, naprawy i drobne uslugi;8
Manpower;HR/ Szkolenia/ Edukacja;50
Manpower;Instytucje sektora publicznego;0
Manpower;Inzynieria/ Konstrukcje/ Technologie;61
Manpower;IT/ Telekomunikacja/ Internet;7
Manpower;Kadra zarzadzajaca;5
Manpower;Komputery/ Sprzet elektroniczny i optyczny;0
Manpower;Konsulting/ Audyt;0
Manpower;Kopalnie/ Przemysl wydobywczy;0
Manpower;Ksiegowosć;269
Manpower;Lotnictwo;0
Manpower;Marketing/ Reklama/ PR;8
Manpower;Maszyny io wyposazenie: instalacja i naprawy;36
Manpower;Media/ Sztuka/ Rozrywka;0
Manpower;Medycyna/ Opieka zdrowotna;0
Manpower;Nieruchomosci;0
Manpower;Obsluga klienta/ Call Center;47
Manpower;Ochrona osob i mienia;0
Manpower;Ochrona srodowiska;0
Manpower;Organizacje pozytku publicznego;0
Manpower;Pojazdy mechaniczne;4
Manpower;Pojazdy mechaniczne, czesci i akcesoria: sprzedaz i naprawy;11
Manpower;Przemysl hutniczny i metalurgiczny;54
Manpower;Przemysl lekki;540
Manpower;Przemysl papierniczy;16
Manpower;Przemysl stoczniowy i kolejowy;0
Manpower;Restauracje/ Hotele;4
Manpower;Rolnictwo/ Lesnictwo/ Rybolostwo;0
Manpower;Sprzedaz detaliczna;20
Manpower;Sprzedaz hurtowa;15
Manpower;Szklo/ Ceramika/ Wyroby mineralne;0
Manpower;Transport/ Logistyka;56
Manpower;Uslugi prawne;0
Manpower;Uslugi wodociagowe, kanalizacyjne i gospodarka odpadami;0
